name,freq
Barnebas,19
Barnett,11
Barney,25
Barnie,25
Barny,29
Baron,27
Barr,21
Barret,22
Barrett,37
Barri,27
Barrie,13
Barris,21
Barron,10
Barry,26
Bart,28
Bartel,22
Barth,33
Barthel,25
Bartholemy,22
Bartholomeo,29
Bartholomeus,28
Bartholomew,29
Bartie,18
Bartlet,23
Bartlett,29
Bartolemo,25
Bartolomeo,28
Barton,31
Bartram,17
Barty,31
Bary,34
Baryram,28
Base,25
Basil,22
Basile,24
Basilio,17
Basilius,17
Bastian,21
Bastien,35
Bat,22
Batholomew,24
Baudoin,12
Bax,31
Baxie,27
Baxter,31
Baxy,24
Bay,29
Bayard,15
Beale,24
Bealle,21
Bear,15
Bearnard,33
Beau,16
Beaufort,13
Beauregard,14
Beck,13
Beltran,24
Ben,29
Bendick,20
Bendicty,24
Bendix,23
Benedetto,24
Benedick,22
Benedict,20
Benedicto,17
Benedikt,13
Bengt,20
Beniamino,16
Benito,17
Benjamen,24
Benjamin,26
Benji,32
Benjie,26
Benjy,7
Benn,16
Bennett,21
Bennie,16
Benny,33
Benoit,4
Benson,17
Bent,23
Bentlee,32
Bentley,4
Benton,19
Benyamin,19
Ber,17
Berk,30
Berke,25
Berkeley,23
Berkie,33
Berkley,32
Berkly,17
Berky,14
Bern,20
Bernard,15
Bernardo,31
Bernarr,21
Berne,21
Bernhard,31
Bernie,15
Berny,20
Bert,25
Berti,24
Bertie,26
Berton,15
Bertram,19
Bertrand,24
Bertrando,24
Berty,25
Bev,15
Bevan,10
Bevin,20
Bevon,16
Bil,20
Bill,28
Billie,28
Billy,20
Bing,22
Bink,17
Binky,33
Birch,5
Birk,20
Biron,25
Bjorn,17
Blaine,20
Blair,20
Blake,30
Blane,21
Blayne,17
Bo,26
Bob,29
Bobbie,21
Bobby,15
Bogart,21
Bogey,18
Boigie,29
Bond,21
Bondie,18
Bondon,29
Bondy,32
Bone,29
Boniface,31
Boone,31
Boonie,10
Boony,20
Boot,16
Boote,20
Booth,19
Boothe,13
Bord,18
Borden,11
Bordie,22
Bordy,18
Borg,27
Boris,23
Bourke,29
Bowie,30
Boy,23
Boyce,18
Boycey,33
Boycie,29
Boyd,14
Brad,23
Bradan,20
Brade,25
Braden,27
Bradford,16
Bradley,11
Bradly,18
Bradney,20
Brady,28
Bram,23
Bran,19
Brand,20
Branden,25
Brander,31
Brandon,28
Brandtr,23
Brandy,25
Brandyn,26
Brannon,30
Brant,17
Brantley,26
Bren,19
Brendan,20
Brenden,30
Brendin,14
Brendis,31
Brendon,18
Brennan,9
Brennen,15
Brent,32
Bret,14
Brett,24
Brew,19
Brewer,19
Brewster,25
Brian,30
Briano,17
Briant,19
Brice,17
Brien,16
Brig,25
Brigg,34
Briggs,22
Brigham,29
Brion,16
Brit,18
Britt,14
Brnaba,26
Brnaby,25
Brock,18
Brockie,27
Brocky,19
Brod,18
Broddie,30
Broddy,26
Broderic,21
Broderick,7
Brodie,4
Brody,36
Brok,18
Bron,29
Bronnie,35
Bronny,40
Bronson,22
Brook,27
Brooke,22
Brooks,16
Brose,27
Bruce,13
Brucie,37
Bruis,17
Bruno,16
Bryan,18
Bryant,26
Bryanty,24
Bryce,18
Bryn,17
Bryon,34
Buck,25
Buckie,23
Bucky,24
Bud,22
Budd,16
Buddie,22
Buddy,17
Buiron,25
Burch,15
Burg,26
Burgess,30
Burk,14
Burke,17
Burl,21
Burlie,26
Burnaby,22
Burnard,25
Burr,26
Burt,12
Burtie,11
Burton,17
Burty,25
Butch,8
Byram,16
Byran,27
Byrann,25
Byrle,23
Byrom,27
Byron,12
Cad,23
Caddric,18
Caesar,19
Cal,15
Caldwell,33
Cale,16
Caleb,16
Calhoun,18
Callean,19
Calv,36
Calvin,27
Cam,27
Cameron,33
Camey,18
Cammy,22
Car,10
Carce,32
Care,11
Carey,36
Carl,25
Carleton,17
Carlie,20
Carlin,21
Carling,19
Carlo,28
Carlos,28
Carly,26
Carlyle,19
Carmine,28
Carney,15
Carny,27
Carolus,16
Carr,19
Carrol,20
Carroll,24
Carson,23
Cart,16
Carter,28
Carver,34
Cary,7
Caryl,27
Casar,15
Case,19
Casey,28
Cash,24
Caspar,20
Casper,24
Cass,22
Cassie,16
Cassius,13
Caz,29
Cazzie,29
Cchaddie,22
Cece,34
Cecil,36
Cecilio,12
Cecilius,26
Ced,26
Cedric,23
Cello,12
Cesar,22
Cesare,28
Cesaro,26
Chad,12
Chadd,15
Chaddie,18
Chaddy,27
Chadwick,23
Chaim,18
Chalmers,22
Chan,30
Chance,20
Chancey,32
Chandler,21
Chane,16
Chariot,16
Charles,24
Charley,20
Charlie,25
Charlton,21
Chas,30
Chase,17
Chaunce,24
Chauncey,9
Che,19
Chen,25
Ches,28
Chester,23
Cheston,28
Chet,22
Chev,17
Chevalier,17
Chevy,2
Chic,25
Chick,24
Chickie,14
Chicky,20
Chico,26
Chilton,17
Chip,28
Chris,21
Chrisse,26
Chrissie,29
Chrissy,32
Christian,28
Christiano,14
Christie,23
Christoffer,24
Christoforo,13
Christoper,26
Christoph,18
Christophe,22
Christopher,25
Christophorus,25
Christos,17
Christy,20
Chrisy,31
Chrotoem,20
Chucho,20
Chuck,28
Cirillo,5
Cirilo,28
Ciro,25
Cirstoforo,15
Claiborn,22
Claiborne,18
Clair,23
Claire,16
Clarance,24
Clare,25
Clarence,7
Clark,16
Clarke,21
Claudell,23
Claudian,29
Claudianus,28
Claudio,16
Claudius,24
Claus,20
Clay,22
Clayborn,17
Clayborne,26
Claybourne,16
Clayson,20
Clayton,20
Cleavland,19
Clem,31
Clemens,15
Clement,18
Clemente,34
Clementius,20
Clemmie,19
Clemmy,20
Cleon,9
Clerc,24
Clerkclaude,18
Cletis,24
Cletus,26
Cleve,8
Cleveland,26
Clevey,23
Clevie,36
Cliff,19
Clifford,28
Clim,22
Clint,19
Clive,22
Cly,20
Clyde,22
Clyve,14
Clywd,17
Cob,27
Cobb,22
Cobbie,31
Cobby,26
Codi,23
Codie,21
Cody,23
Cointon,30
Colan,21
Colas,12
Colby,20
Cole,25
Coleman,25
Colet,20
Colin,18
Collin,20
Colman,8
Colver,17
Con,19
Conan,19
Conant,28
Conn,23
Conney,23
Connie,21
Connor,10
Conny,27
Conrad,31
Conrade,23
Conrado,22
Conroy,14
Consalve,26
Constantin,22
Constantine,16
Constantino,24
Conway,30
Coop,18
Cooper,17
Corbet,19
Corbett,7
Corbie,27
Corbin,22
Corby,19
Cord,18
Cordell,26
Cordie,15
Cordy,22
Corey,20
Cori,36
Cornall,25
Cornelius,22
Cornell,20
Corney,29
Cornie,19
Corny,12
Correy,25
Corrie,5
Cort,37
Cortie,18
Corty,21
Cory,28
Cos,22
Cosimo,26
Cosme,24
Cosmo,16
Costa,14
Court,17
Courtnay,22
Courtney,23
Cozmo,13
Craggie,20
Craggy,13
Craig,13
Crawford,23
Creigh,27
Creight,22
Creighton,19
Crichton,21
Cris,20
Cristian,26
Cristiano,23
Cristobal,22
Crosby,14
Cross,17
Cull,20
Cullan,11
Cullen,19
Culley,16
Cullie,21
Cullin,31
Cully,21
Culver,30
Curcio,24
Curr,16
Curran,16
Currey,22
Currie,24
Curry,24
Curt,24
Curtice,15
Curtis,27
Cy,20
Cyril,15
Cyrill,29
Cyrille,21
Cyrillus,17
Cyrus,35
D'arcy,17
Dael,15
Dag,29
Dagny,39
Dal,15
Dale,41
Dalis,20
Dall,36
Dallas,30
Dalli,38
Dallis,20
Dallon,14
Dalston,22
Dalt,21
Dalton,32
Dame,21
Damian,21
Damiano,19
Damien,30
Damon,25
Dan,19
Dana,8
Dane,31
Dani,28
Danie,17
Daniel,25
Dannel,25
Dannie,13
Danny,23
Dante,27
Danya,16
Dar,11
Darb,18
Darbee,19
Darby,36
Darcy,21
Dare,23
Daren,19
Darill,43
Darin,20
Dario,23
Darius,21
Darn,16
Darnall,10
Darnell,18
Daron,16
Darrel,28
Darrell,36
Darren,18
Darrick,15
Darrin,12
Darryl,24
Darwin,20
Daryl,19
Daryle,29
Dav,12
Dave,10
Daven,22
Davey,15
David,23
Davidde,14
Davide,26
Davidson,14
Davie,25
Davin,10
Davis,26
Davon,21
Davy,22
De witt,21
Dean,11
Deane,19
Decca,21
Deck,14
Del,17
Delainey,20
Delaney,16
Delano,12
Delbert,17
Dell,32
Delmar,25
Delmer,25
Delmor,26
Delmore,10
Demetre,41
Demetri,26
Demetris,21
Demetrius,21
Demott,28
Den,24
Dene,24
Denis,19
Dennet,28
Denney,22
Dennie,28
Dennis,19
Dennison,14
Denny,29
Denver,25
Denys,33
Der,29
Derby,16
Derek,35
Derick,25
Derk,23
Dermot,33
Derrek,37
Derrick,33
Derrik,27
Derril,16
Derron,42
Derry,14
Derward,15
Derwin,12
Des,20
Desi,19
Desmond,30
Desmund,34
Dev,29
Devin,16
Devland,28
Devlen,26
Devlin,33
Devy,35
Dew,34
Dewain,29
Dewey,10
Dewie,31
Dewitt,16
Dex,12
Dexter,15
Diarmid,12
Dick,23
Dickie,23
Dicky,36
Diego,25
Dieter,14
Dietrich,13
Dilan,27
Dill,35
Dillie,13
Dillon,16
Dilly,13
Dimitri,23
Dimitry,27
Dino,24
Dion,18
Dionisio,23
Dionysus,19
Dirk,27
Dmitri,21
Dolf,32
Dolph,21
Dom,14
Domenic,25
Domenico,24
Domingo,22
Dominic,16
Dominick,15
Dominik,38
Dominique,16
Don,27
Donal,25
Donall,33
Donalt,29
Donaugh,24
Donavon,20
Donn,32
Donnell,28
Donnie,10
Donny,16
Donovan,28
Dore,20
Dorey,16
Dorian,20
Dorie,25
Dory,21
Doug,31
Dougie,27
Douglas,26
Douglass,33
Dougy,21
Dov,18
Doy,26
Doyle,24
Drake,14
Drew,23
Dru,12
Drud,34
Drugi,10
Duane,25
Dud,14
Dudley,15
Duff,17
Duffie,10
Duffy,11
Dugald,12
Duke,22
Dukey,31
Dukie,14
Duky,21
Dun,13
Dunc,26
Duncan,17
Dunn,19
Dunstan,17
Dur,29
Durand,25
Durant,29
Durante,19
Durward,23
Dwain,21
Dwayne,25
Dwight,22
Dylan,22
Eadmund,15
Eal,31
Eamon,19
Earl,11
Earle,12
Earlie,17
Early,18
Earvin,16
Eb,24
Eben,20
Ebeneser,25
Ebenezer,13
Eberhard,31
Eberto,18
Ed,13
Edan,20
Edd,25
Eddie,11
Eddy,27
Edgar,19
Edgard,32
Edgardo,27
Edik,24
Edlin,11
Edmon,29
Edmund,22
Edouard,17
Edsel,24
Eduard,27
Eduardo,26
Eduino,14
Edvard,19
Edward,29
Edwin,29
Efrem,14
Efren,24
Egan,30
Egbert,16
Egon,23
Egor,30
El,23
Elbert,26
Elden,18
Eldin,23
Eldon,12
Eldredge,15
Eldridge,14
Eli,19
Elia,13
Elias,15
Elihu,16
Elijah,32
Eliot,16
Elisha,17
Ellary,31
Ellerey,19
Ellery,25
Elliot,27
Elliott,25
Ellis,31
Ellswerth,13
Ellsworth,23
Ellwood,11
Elmer,17
Elmo,24
Elmore,28
Elnar,29
Elroy,31
Elston,21
Elsworth,26
Elton,9
Elvin,21
Elvis,14
Elvyn,21
Elwin,25
Elwood,17
Elwyn,24
Ely,15
Em,16
Emanuel,33
Emanuele,29
Emelen,14
Emerson,26
Emery,20
Emile,15
Emilio,10
Emlen,27
Emlyn,18
Emmanuel,20
Emmerich,21
Emmery,35
Emmet,26
Emmett,28
Emmit,27
Emmott,18
Emmy,32
Emory,22
Engelbert,10
Englebert,30
Ennis,25
Enoch,25
Enos,25
Enrico,25
Enrique,30
Ephraim,31
Ephrayim,11
Ephrem,12
Erasmus,31
Erastus,27
Erek,20
Erhard,28
Erhart,28
Eric,37
Erich,18
Erick,27
Erie,34
Erik,42
Erin,33
Erl,18
Ermanno,20
Ermin,18
Ernest,17
Ernesto,25
Ernestus,32
Ernie,25
Ernst,28
Erny,21
Errick,19
Errol,30
Erroll,23
Erskine,26
Erv,27
Ervin,25
Erwin,25
Esdras,22
Esme,23
Esra,17
Esteban,14
Estevan,22
Etan,12
Ethan,26
Ethe,18
Ethelbert,23
Ethelred,19
Etienne,14
Ettore,23
Euell,27
Eugen,20
Eugene,20
Eugenio,20
Eugenius,14
Eustace,29
Ev,8
Evan,16
Evelin,30
Evelyn,29
Even,15
Everard,21
Evered,29
Everett,20
Evin,37
Evyn,35
Ewan,17
Eward,22
Ewart,18
Ewell,15
Ewen,21
Ezechiel,19
Ezekiel,16
Ezequiel,24
Eziechiele,25
Ezra,21
Ezri,33
Fabe,12
Faber,34
Fabian,16
Fabiano,30
Fabien,26
Fabio,19
Fair,28
Fairfax,16
Fairleigh,25
Fairlie,24
Falito,31
Falkner,19
Far,9
Farlay,17
Farlee,7
Farleigh,30
Farley,29
Farlie,15
Farly,23
Farr,21
Farrel,10
Farrell,32
Farris,10
Faulkner,27
Fax,16
Federico,36
Fee,26
Felic,22
Felice,17
Felicio,14
Felike,19
Feliks,34
Felipe,41
Felix,23
Felizio,24
Feodor,29
Ferd,7
Ferdie,14
Ferdinand,29
Ferdy,22
Fergus,23
Ferguson,24
Fernando,23
Ferrel,18
Ferrell,24
Ferris,18
Fidel,25
Fidelio,27
Fidole,30
Field,31
Fielding,10
Fields,20
Filbert,41
Filberte,15
Filberto,27
Filip,17
Filippo,19
Filmer,23
Filmore,28
Fin,32
Findlay,12
Findley,28
Finlay,14
Finley,26
Finn,15
Fitz,32
Fitzgerald,19
Flem,9
Fleming,22
Flemming,23
Fletch,21
Fletcher,20
Flin,25
Flinn,14
Flint,23
Florian,16
Flory,22
Floyd,35
Flynn,34
Fons,33
Fonsie,22
Fonz,22
Fonzie,18
Forbes,21
Ford,20
Forest,24
Forester,19
Forrest,12
Forrester,30
Forster,22
Foss,18
Foster,19
Fowler,34
Fran,32
Francesco,19
Franchot,17
Francis,29
Francisco,17
Franciskus,26
Francklin,21
Francklyn,29
Francois,23
Frank,13
Frankie,21
Franklin,23
Franklyn,15
Franky,15
Frannie,24
Franny,16
Frans,23
Fransisco,13
Frants,28
Franz,30
Franzen,26
Frasco,16
Fraser,19
Frasier,19
Frasquito,18
Fraze,22
Frazer,22
Frazier,24
Fred,18
Freddie,18
Freddy,18
Fredek,19
Frederic,24
Frederich,10
Frederick,21
Frederico,12
Frederigo,31
Frederik,22
Fredric,25
Fredrick,25
Free,16
Freedman,32
Freeland,18
Freeman,23
Freemon,14
Fremont,26
Friedrich,34
Friedrick,28
Fritz,27
Fulton,17
Gabbie,19
Gabby,17
Gabe,19
Gabi,24
Gabie,23
Gabriel,17
Gabriele,21
Gabriello,29
Gaby,25
Gael,18
Gaelan,18
Gage,25
Gail,26
Gaile,17
Gal,23
Gale,25
Galen,23
Gallagher,26
Gallard,25
Galvan,15
Galven,19
Galvin,28
Gamaliel,21
Gan,20
Gannie,16
Gannon,36
Ganny,17
Gar,34
Garald,16
Gard,21
Gardener,18
Gardie,15
Gardiner,28
Gardner,16
Gardy,23
Gare,17
Garek,14
Gareth,18
Garey,13
Garfield,14
Garik,19
Garner,17
Garold,28
Garrard,29
Garrek,35
Garret,26
Garreth,36
Garrett,15
Garrick,28
Garrik,30
Garrot,33
Garrott,18
Garry,11
Garth,18
Garv,13
Garvey,25
Garvin,21
Garvy,24
Garwin,24
Garwood,17
Gary,16
Gaspar,19
Gaspard,23
Gasparo,20
Gasper,20
Gaston,23
Gaultiero,17
Gauthier,25
Gav,24
Gavan,10
Gaven,18
Gavin,18
Gawain,18
Gawen,10
Gay,12
Gayelord,16
Gayle,17
Gayler,25
Gaylor,17
Gaylord,17
Gearalt,4
Gearard,33
Gene,10
Geno,19
Geoff,14
Geoffrey,15
Geoffry,15
Georas,27
Geordie,12
Georg,21
George,18
Georges,34
Georgi,15
Georgie,22
Georgy,21
Gerald,13
Gerard,20
Gerardo,29
Gerek,29
Gerhard,27
Gerhardt,22
Geri,19
Gerick,19
Gerik,19
Germain,33
Germaine,19
Germayne,25
Gerome,27
Gerrard,22
Gerri,21
Gerrie,30
Gerry,17
Gery,21
Gherardo,23
Giacobo,15
Giacomo,40
Giacopo,16
Gian,20
Gianni,17
Giavani,11
Gib,20
Gibb,18
Gibbie,8
Gibby,17
Gideon,30
Giff,27
Giffard,28
Giffer,32
Giffie,39
Gifford,32
Giffy,15
Gil,20
Gilbert,21
Gilberto,15
Gilburt,1
Giles,17
Gill,20
Gilles,21
Ginger,22
Gino,19
Giordano,15
Giorgi,26
Giorgio,18
Giovanni,27
Giraldo,31
Giraud,25
Giselbert,16
Giulio,25
Giuseppe,22
Giustino,29
Giusto,31
Glen,24
Glenden,21
Glendon,26
Glenn,32
Glyn,24
Glynn,18
Godard,19
Godart,16
Goddard,31
Goddart,17
Godfree,9
Godfrey,18
Godfry,23
Godwin,22
Gonzales,23
Gonzalo,23
Goober,23
Goran,18
Goraud,38
Gordan,17
Gorden,32
Gordie,25
Gordon,18
Gordy,31
Gothart,21
Gottfried,23
Grace,15
Gradeigh,31
Gradey,19
Grady,25
Graehme,27
Graeme,23
Graham,21
Graig,33
Gram,28
Gran,20
Grange,27
Granger,23
Grannie,13
Granny,20
Grant,13
Grantham,33
Granthem,10
Grantley,20
Granville,16
Gray,26
Greg,16
Gregg,26
Greggory,24
Gregoire,19
Gregoor,19
Gregor,18
Gregorio,28
Gregorius,23
Gregory,5
Grenville,18
Griff,26
Griffie,14
Griffin,36
Griffith,26
Griffy,27
Gris,33
Griswold,28
Griz,27
Grove,32
Grover,24
Gualterio,22
Guglielmo,15
Guido,25
Guilbert,25
Guillaume,7
Guillermo,16
Gun,16
Gunar,28
Gunner,28
Guntar,19
Gunter,19
Gunther,29
Gus,35
Guss,12
Gustaf,16
Gustav,25
Gustave,37
Gustavo,29
Gustavus,22
Guthrey,16
Guthrie,24
Guthry,15
Guy,27
Had,20
Hadlee,18
Hadleigh,31
Hadley,35
Hadrian,7
Hagan,26
Hagen,14
Hailey,23
Haily,12
Hakeem,29
Hakim,25
Hal,29
Hale,17
Haleigh,22
Haley,19
Hall,19
Hallsy,18
Halsey,22
Halsy,15
Ham,20
Hamel,30
Hamid,13
Hamil,28
Hamilton,15
Hamish,17
Hamlen,16
Hamlin,16
Hammad,21
Hamnet,22
Hanan,12
Hank,27
Hans,20
Hansiain,18
Hanson,22
Harald,19
Harbert,33
Harcourt,31
Hardy,21
Harlan,21
Harland,23
Harlen,22
Harley,33
Harlin,13
Harman,25
Harmon,10
Harold,22
Haroun,23
Harp,32
Harper,26
Harris,24
Harrison,23
Harry,24
Hart,16
Hartley,16
Hartwell,23
Harv,11
Harvey,25
Harwell,23
Harwilll,16
Hasheem,30
Hashim,13
Haskel,35
Haskell,9
Haslett,17
Hastie,36
Hastings,28
Hasty,20
Haven,31
Hayden,14
Haydon,26
Hayes,20
Hayward,33
Haywood,23
Hayyim,8
Haze,20
Hazel,18
Hazlett,29
Heall,21
Heath,6
Hebert,29
Hector,14
Heindrick,16
Heinrick,28
Heinrik,25
Henderson,25
Hendrick,18
Hendrik,29
Henri,33
Henrik,22
Henry,17
Herb,24
Herbert,21
Herbie,31
Herby,20
Herc,19
Hercule,24
Hercules,16
Herculie,23
Heriberto,23
Herman,18
Hermann,26
Hermie,27
Hermon,17
Hermy,19
Hernando,22
Herold,23
Herrick,21
Hersch,16
Herschel,28
Hersh,26
Hershel,26
Herve,14
Hervey,13
Hew,15
Hewe,33
Hewet,26
Hewett,11
Hewie,17
Hewitt,15
Heywood,20
Hi,19
Hieronymus,20
Hilario,33
Hilarius,32
Hilary,29
Hill,11
Hillard,29
Hillary,30
Hillel,34
Hillery,24
Hilliard,20
Hillie,36
Hillier,22
Hilly,15
Hillyer,29
Hilton,14
Hinze,30
Hiram,11
Hirsch,20
Hobard,19
Hobart,20
Hobey,10
Hobie,31
Hodge,27
Hoebart,22
Hogan,15
Holden,42
Hollis,15
Holly,24
Holmes,17
Holt,21
Homer,19
Homere,21
Homerus,27
Horace,7
Horacio,27
Horatio,21
Horatius,24
Horst,9
Hort,25
Horten,21
Horton,21
Howard,13
Howey,13
Howie,22
Hoyt,24
Hube,16
Hubert,31
Huberto,20
Hubey,28
Hubie,21
Huey,16
Hugh,29
Hughie,35
Hugibert,27
Hugo,18
Hugues,17
Humbert,25
Humberto,14
Humfrey,25
Humfrid,29
Humfried,22
Humphrey,30
Hunfredo,19
Hunt,22
Hunter,22
Huntington,20
Huntlee,27
Huntley,21
Hurlee,29
Hurleigh,12
Hurley,20
Husain,11
Husein,32
Hussein,11
Hy,20
Hyatt,25
Hyman,27
Hymie,35
Iago,9
Iain,9
Ian,26
Ibrahim,17
Ichabod,26
Iggie,20
Iggy,25
Ignace,20
Ignacio,33
Ignacius,33
Ignatius,23
Ignaz,23
Ignazio,15
Igor,12
Ike,14
Ikey,24
Ilaire,29
Ilario,17
Immanuel,24
Ingamar,19
Ingar,18
Ingelbert,18
Ingemar,17
Inger,19
Inglebert,35
Inglis,22
Ingmar,23
Ingra,21
Ingram,26
Ingrim,18
Inigo,22
Inness,23
Innis,20
Iorgo,35
Iorgos,21
Iosep,13
Ira,12
Irv,15
Irvin,17
Irvine,18
Irving,18
Irwin,33
Irwinn,23
Isa,21
Isaac,17
Isaak,11
Isac,32
Isacco,30
Isador,27
Isadore,16
Isaiah,33
Isak,13
Isiahi,33
Isidor,29
Isidore,27
Isidoro,25
Isidro,18
Israel,9
Issiah,32
Itch,15
Ivan,18
Ivar,24
Ive,28
Iver,20
Ives,17
Ivor,18
Izaak,15
Izak,16
Izzy,11
Jabez,18
Jack,30
Jackie,21
Jackson,24
Jacky,28
Jacob,36
Jacobo,12
Jacques,28
Jae,25
Jaime,25
Jaimie,17
Jake,19
Jakie,16
Jakob,21
Jamaal,15
Jamal,23
James,25
Jameson,5
Jamesy,12
Jamey,18
Jamie,26
Jamil,23
Jamill,22
Jamison,35
Jammal,16
Jan,13
Janek,14
Janos,29
Jarad,20
Jard,10
Jareb,19
Jared,16
Jarib,26
Jarid,24
Jarrad,25
Jarred,23
Jarret,24
Jarrett,12
Jarrid,12
Jarrod,7
Jarvis,23
Jase,20
Jasen,25
Jason,10
Jasper,26
Jasun,24
Javier,24
Jay,21
Jaye,33
Jayme,16
Jaymie,20
Jayson,28
Jdavie,18
Jean,29
Jecho,11
Jed,12
Jedd,18
Jeddy,31
Jedediah,17
Jedidiah,26
Jeff,15
Jefferey,17
Jefferson,12
Jeffie,30
Jeffrey,18
Jeffry,19
Jeffy,33
Jehu,23
Jeno,21
Jens,17
Jephthah,30
Jerad,17
Jerald,20
Jeramey,24
Jeramie,12
Jere,32
Jereme,20
Jeremiah,10
Jeremias,21
Jeremie,30
Jeremy,14
Jermain,15
Jermaine,8
Jermayne,13
Jerome,12
Jeromy,24
Jerri,20
Jerrie,36
Jerrold,30
Jerrome,20
Jerry,26
Jervis,21
Jess,16
Jesse,26
Jessee,17
Jessey,30
Jessie,34
Jesus,27
Jeth,25
Jethro,30
Jim,26
Jimmie,8
Jimmy,29
Jo,31
Joachim,33
Joaquin,25
Job,30
Jock,26
Jocko,29
Jodi,21
Jodie,20
Jody,14
Joe,23
Joel,32
Joey,30
Johan,19
Johann,21
Johannes,32
John,29
Johnathan,38
Johnathon,19
Johnnie,14
Johnny,14
Johny,20
Jon,17
Jonah,22
Jonas,30
Jonathan,26
Jonathon,37
Jone,18
Jordan,18
Jordon,17
Jorgan,26
Jorge,17
Jory,21
Jose,16
Joseito,31
Joseph,32
Josh,16
Joshia,23
Joshua,22
Joshuah,8
Josiah,19
