name,sex
Augustina,F
Augustine,F
Aundrea,F
Aura,F
Aurea,F
Aurel,F
Aurelea,F
Aurelia,F
Aurelie,F
Auria,F
Aurie,F
Aurilia,F
Aurlie,F
Auroora,F
Aurora,F
Aurore,F
Austin,F
Austina,F
Austine,F
Ava,F
Aveline,F
Averil,F
Averyl,F
Avie,F
Avis,F
Aviva,F
Avivah,F
Avril,F
Avrit,F
Ayn,F
Bab,F
Babara,F
Babb,F
Babbette,F
Babbie,F
Babette,F
Babita,F
Babs,F
Bambi,F
Bambie,F
Bamby,F
Barb,F
Barbabra,F
Barbara,F
Barbara-anne,F
Barbaraanne,F
Barbe,F
Barbee,F
Barbette,F
Barbey,F
Barbi,F
Barbie,F
Barbra,F
Barby,F
Bari,F
Barrie,F
Barry,F
Basia,F
Bathsheba,F
Batsheva,F
Bea,F
Beatrice,F
Beatrisa,F
Beatrix,F
Beatriz,F
Bebe,F
Becca,F
Becka,F
Becki,F
Beckie,F
Becky,F
Bee,F
Beilul,F
Beitris,F
Bekki,F
Bel,F
Belia,F
Belicia,F
Belinda,F
Belita,F
Bell,F
Bella,F
Bellanca,F
Belle,F
Bellina,F
Belva,F
Belvia,F
Bendite,F
Benedetta,F
Benedicta,F
Benedikta,F
Benetta,F
Benita,F
Benni,F
Bennie,F
Benny,F
Benoite,F
Berenice,F
Beret,F
Berget,F
Berna,F
Bernadene,F
Bernadette,F
Bernadina,F
Bernadine,F
Bernardina,F
Bernardine,F
Bernelle,F
Bernete,F
Bernetta,F
Bernette,F
Berni,F
Bernice,F
Bernie,F
Bernita,F
Berny,F
Berri,F
Berrie,F
Berry,F
Bert,F
Berta,F
Berte,F
Bertha,F
Berthe,F
Berti,F
Bertie,F
Bertina,F
Bertine,F
Berty,F
Beryl,F
Beryle,F
Bess,F
Bessie,F
Bessy,F
Beth,F
Bethanne,F
Bethany,F
Bethena,F
Bethina,F
Betsey,F
Betsy,F
Betta,F
Bette,F
Bette-ann,F
Betteann,F
Betteanne,F
Betti,F
Bettina,F
Bettine,F
Betty,F
Bettye,F
Beulah,F
Bev,F
Beverie,F
Beverlee,F
Beverley,F
Beverlie,F
Beverly,F
Bevvy,F
Bianca,F
Bianka,F
Bibbie,F
Bibby,F
Bibbye,F
Bibi,F
Biddie,F
Biddy,F
Bidget,F
Bili,F
Bill,F
Billi,F
Billie,F
Billy,F
Billye,F
Binni,F
Binnie,F
Binny,F
Bird,F
Birdie,F
Birgit,F
Birgitta,F
Blair,F
Blaire,F
Blake,F
Blakelee,F
Blakeley,F
Blanca,F
Blanch,F
Blancha,F
Blanche,F
Blinni,F
Blinnie,F
Blinny,F
Bliss,F
Blisse,F
Blithe,F
Blondell,F
Blondelle,F
Blondie,F
Blondy,F
Blythe,F
Bobbe,F
Bobbee,F
Bobbette,F
Bobbi,F
Bobbie,F
Bobby,F
Bobbye,F
Bobette,F
Bobina,F
Bobine,F
Bobinette,F
Bonita,F
Bonnee,F
Bonni,F
Bonnibelle,F
Bonnie,F
Bonny,F
Brana,F
Brandais,F
Brande,F
Brandea,F
Brandi,F
Brandice,F
Brandie,F
Brandise,F
Brandy,F
Breanne,F
Brear,F
Bree,F
Breena,F
Bren,F
Brena,F
Brenda,F
Brenn,F
Brenna,F
Brett,F
Bria,F
Briana,F
Brianna,F
Brianne,F
Bride,F
Bridget,F
Bridgette,F
Bridie,F
Brier,F
Brietta,F
Brigid,F
Brigida,F
Brigit,F
Brigitta,F
Brigitte,F
Brina,F
Briney,F
Brinn,F
Brinna,F
Briny,F
Brit,F
Brita,F
Britney,F
Britni,F
Britt,F
Britta,F
Brittan,F
Brittaney,F
Brittani,F
Brittany,F
Britte,F
Britteny,F
Brittne,F
Brittney,F
Brittni,F
Brook,F
Brooke,F
Brooks,F
Brunhilda,F
Brunhilde,F
Bryana,F
Bryn,F
Bryna,F
Brynn,F
Brynna,F
Brynne,F
Buffy,F
Bunni,F
Bunnie,F
Bunny,F
Cacilia,F
Cacilie,F
Cahra,F
Cairistiona,F
Caitlin,F
Caitrin,F
Cal,F
Calida,F
Calla,F
Calley,F
Calli,F
Callida,F
Callie,F
Cally,F
Calypso,F
Cam,F
Camala,F
Camel,F
Camella,F
Camellia,F
Cami,F
Camila,F
Camile,F
Camilla,F
Camille,F
Cammi,F
Cammie,F
Cammy,F
Candace,F
Candi,F
Candice,F
Candida,F
Candide,F
Candie,F
Candis,F
Candra,F
Candy,F
Caprice,F
Cara,F
Caralie,F
Caren,F
Carena,F
Caresa,F
Caressa,F
Caresse,F
Carey,F
Cari,F
Caria,F
Carie,F
Caril,F
Carilyn,F
Carin,F
Carina,F
Carine,F
Cariotta,F
Carissa,F
Carita,F
Caritta,F
Carla,F
Carlee,F
Carleen,F
Carlen,F
Carlene,F
Carley,F
Carlie,F
Carlin,F
Carlina,F
Carline,F
Carlita,F
Carlota,F
Carlotta,F
Carly,F
Carlye,F
Carlyn,F
Carlynn,F
Carlynne,F
Carma,F
Carmel,F
Carmela,F
Carmelia,F
Carmelina,F
Carmelita,F
Carmella,F
Carmelle,F
Carmen,F
Carmencita,F
Carmina,F
Carmine,F
Carmita,F
Carmon,F
Caro,F
Carol,F
Carol-jean,F
Carola,F
Carolan,F
Carolann,F
Carole,F
Carolee,F
Carolin,F
Carolina,F
Caroline,F
Caroljean,F
Carolyn,F
Carolyne,F
Carolynn,F
Caron,F
Carree,F
Carri,F
Carrie,F
Carrissa,F
Carroll,F
Carry,F
Cary,F
Caryl,F
Caryn,F
Casandra,F
Casey,F
Casi,F
Casie,F
Cass,F
Cassandra,F
Cassandre,F
Cassandry,F
Cassaundra,F
Cassey,F
Cassi,F
Cassie,F
Cassondra,F
Cassy,F
Catarina,F
Cate,F
Caterina,F
Catha,F
Catharina,F
Catharine,F
Cathe,F
Cathee,F
Catherin,F
Catherina,F
Catherine,F
Cathi,F
Cathie,F
Cathleen,F
Cathlene,F
Cathrin,F
Cathrine,F
Cathryn,F
Cathy,F
Cathyleen,F
Cati,F
Catie,F
Catina,F
Catlaina,F
Catlee,F
Catlin,F
Catrina,F
Catriona,F
Caty,F
Caye,F
Cayla,F
Cecelia,F
Cecil,F
Cecile,F
Ceciley,F
Cecilia,F
Cecilla,F
Cecily,F
Ceil,F
Cele,F
Celene,F
Celesta,F
Celeste,F
Celestia,F
Celestina,F
Celestine,F
Celestyn,F
Celestyna,F
Celia,F
Celie,F
Celina,F
Celinda,F
Celine,F
Celinka,F
Celisse,F
Celka,F
Celle,F
Cesya,F
Chad,F
Chanda,F
Chandal,F
Chandra,F
Channa,F
Chantal,F
Chantalle,F
Charil,F
Charin,F
Charis,F
Charissa,F
Charisse,F
Charita,F
Charity,F
Charla,F
Charlean,F
Charleen,F
Charlena,F
Charlene,F
Charline,F
Charlot,F
Charlotta,F
Charlotte,F
Charmain,F
Charmaine,F
Charmane,F
Charmian,F
Charmine,F
Charmion,F
Charo,F
Charyl,F
Chastity,F
Chelsae,F
Chelsea,F
Chelsey,F
Chelsie,F
Chelsy,F
Cher,F
Chere,F
Cherey,F
Cheri,F
Cherianne,F
Cherice,F
Cherida,F
Cherie,F
Cherilyn,F
Cherilynn,F
Cherin,F
Cherise,F
Cherish,F
Cherlyn,F
Cherri,F
Cherrita,F
Cherry,F
Chery,F
Cherye,F
Cheryl,F
Cheslie,F
Chiarra,F
Chickie,F
Chicky,F
Chiquia,F
Chiquita,F
Chlo,F
Chloe,F
Chloette,F
Chloris,F
Chris,F
Chrissie,F
Chrissy,F
Christa,F
Christabel,F
Christabella,F
Christal,F
Christalle,F
Christan,F
Christean,F
Christel,F
Christen,F
Christi,F
Christian,F
Christiana,F
Christiane,F
Christie,F
Christin,F
Christina,F
Christine,F
Christy,F
Christye,F
Christyna,F
Chrysa,F
Chrysler,F
Chrystal,F
Chryste,F
Chrystel,F
Cicely,F
Cicily,F
Ciel,F
Cilka,F
Cinda,F
Cindee,F
Cindelyn,F
Cinderella,F
Cindi,F
Cindie,F
Cindra,F
Cindy,F
Cinnamon,F
Cissiee,F
Cissy,F
Clair,F
Claire,F
Clara,F
Clarabelle,F
Clare,F
Claresta,F
Clareta,F
Claretta,F
Clarette,F
Clarey,F
Clari,F
Claribel,F
Clarice,F
Clarie,F
Clarinda,F
Clarine,F
Clarissa,F
Clarisse,F
Clarita,F
Clary,F
Claude,F
Claudelle,F
Claudetta,F
Claudette,F
Claudia,F
Claudie,F
Claudina,F
Claudine,F
Clea,F
Clem,F
Clemence,F
Clementia,F
Clementina,F
Clementine,F
Clemmie,F
Clemmy,F
Cleo,F
Cleopatra,F
Clerissa,F
Clio,F
Clo,F
Cloe,F
Cloris,F
Clotilda,F
Clovis,F
Codee,F
Codi,F
Codie,F
Cody,F
Coleen,F
Colene,F
Coletta,F
Colette,F
Colleen,F
Collen,F
Collete,F
Collette,F
Collie,F
Colline,F
Colly,F
Con,F
Concettina,F
Conchita,F
Concordia,F
Conni,F
Connie,F
Conny,F
Consolata,F
Constance,F
Constancia,F
Constancy,F
Constanta,F
Constantia,F
Constantina,F
Constantine,F
Consuela,F
Consuelo,F
Cookie,F
Cora,F
Corabel,F
Corabella,F
Corabelle,F
Coral,F
Coralie,F
Coraline,F
Coralyn,F
Cordelia,F
Cordelie,F
Cordey,F
Cordi,F
Cordie,F
Cordula,F
Cordy,F
Coreen,F
Corella,F
Corena,F
Corenda,F
Corene,F
Coretta,F
Corette,F
Corey,F
Cori,F
Corie,F
Corilla,F
Corina,F
Corine,F
Corinna,F
Corinne,F
Coriss,F
Corissa,F
Corliss,F
Corly,F
Cornela,F
Cornelia,F
Cornelle,F
Cornie,F
Corny,F
Correna,F
Correy,F
Corri,F
Corrianne,F
Corrie,F
Corrina,F
Corrine,F
Corrinne,F
Corry,F
Cortney,F
Cory,F
Cosetta,F
Cosette,F
Costanza,F
Courtenay,F
Courtnay,F
Courtney,F
Crin,F
Cris,F
Crissie,F
Crissy,F
Crista,F
Cristabel,F
Cristal,F
Cristen,F
Cristi,F
Cristie,F
Cristin,F
Cristina,F
Cristine,F
Cristionna,F
Cristy,F
Crysta,F
Crystal,F
Crystie,F
Cthrine,F
Cyb,F
Cybil,F
Cybill,F
Cymbre,F
Cynde,F
Cyndi,F
Cyndia,F
Cyndie,F
Cyndy,F
Cynthea,F
Cynthia,F
Cynthie,F
Cynthy,F
Dacey,F
Dacia,F
Dacie,F
Dacy,F
Dael,F
Daffi,F
Daffie,F
Daffy,F
Dagmar,F
Dahlia,F
Daile,F
Daisey,F
Daisi,F
Daisie,F
Daisy,F
Dale,F
Dalenna,F
Dalia,F
Dalila,F
Dallas,F
Daloris,F
Damara,F
Damaris,F
Damita,F
Dana,F
Danell,F
Danella,F
Danette,F
Dani,F
Dania,F
Danica,F
Danice,F
Daniela,F
Daniele,F
Daniella,F
Danielle,F
Danika,F
Danila,F
Danit,F
Danita,F
Danna,F
Danni,F
Dannie,F
Danny,F
Dannye,F
Danya,F
Danyelle,F
Danyette,F
Daphene,F
Daphna,F
Daphne,F
Dara,F
Darb,F
Darbie,F
Darby,F
Darcee,F
Darcey,F
Darci,F
Darcie,F
Darcy,F
Darda,F
Dareen,F
Darell,F
Darelle,F
Dari,F
Daria,F
Darice,F
Darla,F
Darleen,F
Darlene,F
Darline,F
Darlleen,F
Daron,F
Darrelle,F
Darryl,F
Darsey,F
Darsie,F
Darya,F
Daryl,F
Daryn,F
Dasha,F
Dasi,F
Dasie,F
Dasya,F
Datha,F
Daune,F
Daveen,F
Daveta,F
Davida,F
Davina,F
Davine,F
Davita,F
Dawn,F
Dawna,F
Dayle,F
Dayna,F
Ddene,F
De,F
Deana,F
Deane,F
Deanna,F
Deanne,F
Deb,F
Debbi,F
Debbie,F
Debby,F
Debee,F
Debera,F
Debi,F
Debor,F
Debora,F
Deborah,F
Debra,F
Dede,F
Dedie,F
Dedra,F
Dee,F
Dee dee,F
Deeann,F
Deeanne,F
Deedee,F
Deena,F
Deerdre,F
Deeyn,F
Dehlia,F
Deidre,F
Deina,F
Deirdre,F
Del,F
Dela,F
Delcina,F
Delcine,F
Delia,F
Delila,F
Delilah,F
Delinda,F
Dell,F
Della,F
Delly,F
Delora,F
Delores,F
Deloria,F
Deloris,F
Delphine,F
Delphinia,F
Demeter,F
Demetra,F
Demetria,F
Demetris,F
Dena,F
Deni,F
Denice,F
Denise,F
Denna,F
Denni,F
Dennie,F
Denny,F
Deny,F
Denys,F
Denyse,F
Deonne,F
Desdemona,F
Desirae,F
Desiree,F
Desiri,F
Deva,F
Devan,F
Devi,F
Devin,F
Devina,F
Devinne,F
Devon,F
Devondra,F
Devonna,F
Devonne,F
Devora,F
Di,F
Diahann,F
Dian,F
Diana,F
Diandra,F
Diane,F
Diane-marie,F
Dianemarie,F
Diann,F
Dianna,F
Dianne,F
Diannne,F
Didi,F
Dido,F
Diena,F
Dierdre,F
Dina,F
Dinah,F
Dinnie,F
Dinny,F
Dion,F
Dione,F
Dionis,F
Dionne,F
Dita,F
Dix,F
Dixie,F
Dniren,F
Dode,F
Dodi,F
Dodie,F
Dody,F
Doe,F
Doll,F
Dolley,F
Dolli,F
Dollie,F
Dolly,F
Dolores,F
Dolorita,F
Doloritas,F
Domeniga,F
Dominga,F
Domini,F
Dominica,F
Dominique,F
Dona,F
Donella,F
Donelle,F
Donetta,F
Donia,F
Donica,F
Donielle,F
Donna,F
Donnajean,F
Donnamarie,F
Donni,F
Donnie,F
Donny,F
Dora,F
Doralia,F
Doralin,F
Doralyn,F
Doralynn,F
Doralynne,F
Dore,F
Doreen,F
Dorelia,F
Dorella,F
Dorelle,F
Dorena,F
Dorene,F
Doretta,F
Dorette,F
Dorey,F
Dori,F
Doria,F
Dorian,F
Dorice,F
Dorie,F
Dorine,F
Doris,F
Dorisa,F
Dorise,F
Dorita,F
Doro,F
Dorolice,F
Dorolisa,F
Dorotea,F
Doroteya,F
Dorothea,F
Dorothee,F
Dorothy,F
Dorree,F
Dorri,F
Dorrie,F
Dorris,F
Dorry,F
Dorthea,F
Dorthy,F
Dory,F
Dosi,F
Dot,F
Doti,F
Dotti,F
Dottie,F
Dotty,F
Dre,F
Dreddy,F
Dredi,F
Drona,F
Dru,F
Druci,F
Drucie,F
Drucill,F
Drucy,F
Drusi,F
Drusie,F
Drusilla,F
Drusy,F
Dulce,F
Dulcea,F
Dulci,F
Dulcia,F
Dulciana,F
Dulcie,F
Dulcine,F
Dulcinea,F
Dulcy,F
Dulsea,F
Dusty,F
Dyan,F
Dyana,F
Dyane,F
Dyann,F
Dyanna,F
Dyanne,F
Dyna,F
Dynah,F
Eachelle,F
Eada,F
Eadie,F
Eadith,F
Ealasaid,F
Eartha,F
Easter,F
Eba,F
Ebba,F
Ebonee,F
Ebony,F
Eda,F
Eddi,F
Eddie,F
Eddy,F
Ede,F
Edee,F
Edeline,F
Eden,F
Edi,F
Edie,F
Edin,F
Edita,F
Edith,F
Editha,F
Edithe,F
Ediva,F
Edna,F
Edwina,F
Edy,F
Edyth,F
Edythe,F
Effie,F
Eileen,F
Eilis,F
Eimile,F
Eirena,F
Ekaterina,F
Elaina,F
Elaine,F
Elana,F
Elane,F
Elayne,F
Elberta,F
Elbertina,F
Elbertine,F
Eleanor,F
Eleanora,F
Eleanore,F
Electra,F
Eleen,F
Elena,F
Elene,F
Eleni,F
Elenore,F
Eleonora,F
Eleonore,F
Elfie,F
Elfreda,F
Elfrida,F
Elfrieda,F
Elga,F
Elianora,F
Elianore,F
Elicia,F
Elie,F
Elinor,F
Elinore,F
Elisa,F
Elisabet,F
Elisabeth,F
Elisabetta,F
Elise,F
Elisha,F
Elissa,F
Elita,F
Eliza,F
Elizabet,F
Elizabeth,F
Elka,F
Elke,F
Ella,F
Elladine,F
Elle,F
Ellen,F
Ellene,F
Ellette,F
Elli,F
Ellie,F
Ellissa,F
Elly,F
Ellyn,F
Ellynn,F
Elmira,F
Elna,F
Elnora,F
Elnore,F
Eloisa,F
Eloise,F
Elonore,F
Elora,F
Elsa,F
Elsbeth,F
Else,F
Elset,F
Elsey,F
Elsi,F
Elsie,F
Elsinore,F
Elspeth,F
Elsy,F
Elva,F
Elvera,F
Elvina,F
Elvira,F
Elwira,F
Elyn,F
Elyse,F
Elysee,F
Elysha,F
Elysia,F
Elyssa,F
Em,F
Ema,F
Emalee,F
Emalia,F
Emelda,F
Emelia,F
Emelina,F
Emeline,F
Emelita,F
Emelyne,F
Emera,F
Emilee,F
Emili,F
Emilia,F
Emilie,F
Emiline,F
Emily,F
Emlyn,F
Emlynn,F
Emlynne,F
Emma,F
Emmalee,F
Emmaline,F
Emmalyn,F
Emmalynn,F
Emmalynne,F
Emmeline,F
Emmey,F
Emmi,F
Emmie,F
Emmy,F
Emmye,F
Emogene,F
Emyle,F
Emylee,F
Engracia,F
Enid,F
Enrica,F
Enrichetta,F
Enrika,F
Enriqueta,F
Eolanda,F
Eolande,F
Eran,F
Erda,F
Erena,F
Erica,F
Ericha,F
Ericka,F
Erika,F
Erin,F
Erina,F
Erinn,F
Erinna,F
Erma,F
Ermengarde,F
Ermentrude,F
Ermina,F
Erminia,F
Erminie,F
Erna,F
Ernaline,F
Ernesta,F
Ernestine,F
Ertha,F
Eryn,F
Esma,F
Esmaria,F
Esme,F
Esmeralda,F
Essa,F
Essie,F
Essy,F
Esta,F
Estel,F
Estele,F
Estell,F
Estella,F
Estelle,F
Ester,F
Esther,F
Estrella,F
Estrellita,F
Ethel,F
Ethelda,F
Ethelin,F
Ethelind,F
Etheline,F
Ethelyn,F
Ethyl,F
Etta,F
Etti,F
Ettie,F
Etty,F
Eudora,F
Eugenia,F
Eugenie,F
Eugine,F
Eula,F
Eulalie,F
Eunice,F
Euphemia,F
Eustacia,F
Eva,F
Evaleen,F
Evangelia,F
Evangelin,F
Evangelina,F
Evangeline,F
Evania,F
Evanne,F
Eve,F
Eveleen,F
Evelina,F
Eveline,F
Evelyn,F
Evey,F
Evie,F
Evita,F
Evonne,F
Evvie,F
Evvy,F
Evy,F
Eyde,F
Eydie,F
Ezmeralda,F
Fae,F
Faina,F
Faith,F
Fallon,F
Fan,F
Fanchette,F
Fanchon,F
Fancie,F
Fancy,F
Fanechka,F
Fania,F
Fanni,F
Fannie,F
Fanny,F
Fanya,F
Fara,F
Farah,F
Farand,F
Farica,F
Farra,F
Farrah,F
Farrand,F
Faun,F
Faunie,F
Faustina,F
Faustine,F
Fawn,F
Fawne,F
Fawnia,F
Fay,F
Faydra,F
Faye,F
Fayette,F
Fayina,F
Fayre,F
Fayth,F
Faythe,F
Federica,F
Fedora,F
Felecia,F
Felicdad,F
Felice,F
Felicia,F
Felicity,F
Felicle,F
Felipa,F
Felisha,F
Felita,F
Feliza,F
Fenelia,F
Feodora,F
Ferdinanda,F
Ferdinande,F
Fern,F
Fernanda,F
Fernande,F
Fernandina,F
Ferne,F
Fey,F
Fiann,F
Fianna,F
Fidela,F
Fidelia,F
Fidelity,F
Fifi,F
Fifine,F
Filia,F
Filide,F
Filippa,F
Fina,F
Fiona,F
Fionna,F
Fionnula,F
Fiorenze,F
Fleur,F
Fleurette,F
Flo,F
Flor,F
Flora,F
Florance,F
Flore,F
Florella,F
Florence,F
Florencia,F
Florentia,F
Florenza,F
Florette,F
Flori,F
Floria,F
Florida,F
Florie,F
Florina,F
Florinda,F
Floris,F
Florri,F
Florrie,F
Florry,F
Flory,F
Flossi,F
Flossie,F
Flossy,F
Flss,F
Fran,F
Francene,F
Frances,F
Francesca,F
Francine,F
Francisca,F
Franciska,F
Francoise,F
Francyne,F
Frank,F
Frankie,F
Franky,F
Franni,F
Frannie,F
Franny,F
Frayda,F
Fred,F
Freda,F
Freddi,F
Freddie,F
Freddy,F
Fredelia,F
Frederica,F
Fredericka,F
Frederique,F
Fredi,F
Fredia,F
Fredra,F
Fredrika,F
Freida,F
Frieda,F
Friederike,F
Fulvia,F
Gabbey,F
Gabbi,F
Gabbie,F
Gabey,F
Gabi,F
Gabie,F
Gabriel,F
Gabriela,F
Gabriell,F
Gabriella,F
Gabrielle,F
Gabriellia,F
Gabrila,F
Gaby,F
Gae,F
Gael,F
Gail,F
Gale,F
Galina,F
Garland,F
Garnet,F
Garnette,F
Gates,F
Gavra,F
Gavrielle,F
Gay,F
Gaye,F
Gayel,F
Gayla,F
Gayle,F
Gayleen,F
Gaylene,F
Gaynor,F
Gelya,F
Gena,F
Gene,F
Geneva,F
Genevieve,F
Genevra,F
Genia,F
Genna,F
Genni,F
Gennie,F
Gennifer,F
Genny,F
Genovera,F
Genvieve,F
George,F
Georgeanna,F
Georgeanne,F
Georgena,F
Georgeta,F
Georgetta,F
Georgette,F
Georgia,F
Georgiana,F
Georgianna,F
Georgianne,F
Georgie,F
Georgina,F
Georgine,F
Geralda,F
Geraldine,F
Gerda,F
Gerhardine,F
Geri,F
Gerianna,F
Gerianne,F
Gerladina,F
Germain,F
Germaine,F
Germana,F
Gerri,F
Gerrie,F
Gerrilee,F
Gerry,F
Gert,F
Gerta,F
Gerti,F
Gertie,F
Gertrud,F
Gertruda,F
Gertrude,F
Gertrudis,F
Gerty,F
Giacinta,F
Giana,F
Gianina,F
Gianna,F
Gigi,F
Gilberta,F
Gilberte,F
Gilbertina,F
Gilbertine,F
Gilda,F
Gilemette,F
Gill,F
Gillan,F
Gilli,F
Gillian,F
Gillie,F
Gilligan,F
Gilly,F
Gina,F
Ginelle,F
Ginevra,F
Ginger,F
Ginni,F
Ginnie,F
Ginnifer,F
Ginny,F
Giorgia,F
Giovanna,F
Gipsy,F
Giralda,F
Gisela,F
Gisele,F
Gisella,F
Giselle,F
Giuditta,F
Giulia,F
Giulietta,F
Giustina,F
Gizela,F
Glad,F
Gladi,F
Gladys,F
Gleda,F
Glen,F
Glenda,F
Glenine,F
Glenn,F
Glenna,F
Glennie,F
Glennis,F
Glori,F
Gloria,F
